From 2022-01-01 to 2022-02-01,"Profits: 0.40790000000000504, Winrate: 42.22222222222222, Number of trades: 45"
From 2022-02-01 to 2022-03-01,"Profits: 0.797399999999989, Winrate: 52.94117647058824, Number of trades: 34"
From 2022-03-01 to 2022-04-01,"Profits: 0.23135000000000971, Winrate: 44.06779661016949, Number of trades: 59"
From 2022-04-01 to 2022-05-01,"Profits: -0.6607999999999734, Winrate: 28.846153846153843, Number of trades: 52"
From 2022-05-01 to 2022-06-01,"Profits: -0.5778000000000016, Winrate: 33.33333333333333, Number of trades: 33"
From 2022-06-01 to 2022-07-01,"Profits: -0.580400000000008, Winrate: 34.375, Number of trades: 32"
From 2022-07-01 to 2022-08-01,"Profits: 0.9597999999999942, Winrate: 51.28205128205128, Number of trades: 39"
From 2022-08-01 to 2022-09-01,"Profits: 0.11540000000000461, Winrate: 47.368421052631575, Number of trades: 38"
From 2022-09-01 to 2022-10-01,"Profits: -0.16890000000001137, Winrate: 34.48275862068966, Number of trades: 29"
From 2022-10-01 to 2022-11-01,"Profits: -0.3390499999999985, Winrate: 30.555555555555557, Number of trades: 36"
From 2022-11-01 to 2022-12-01,"Profits: 0.0417999999999914, Winrate: 34.285714285714285, Number of trades: 35"
From 2022-12-01 to 2023-01-01,"Profits: 0.329449999999996, Winrate: 51.35135135135135, Number of trades: 37"
From 2023-01-01 to 2023-02-01,"Profits: -0.002900000000005676, Winrate: 42.30769230769231, Number of trades: 26"
From 2023-02-01 to 2023-03-01,"Profits: 0.20694999999999197, Winrate: 50.0, Number of trades: 26"
From 2023-03-01 to 2023-04-01,"Profits: 0.09509999999999863, Winrate: 40.74074074074074, Number of trades: 27"
From 2023-04-01 to 2023-05-01,"Profits: 0.13735000000000408, Winrate: 28.000000000000004, Number of trades: 25"
From 2023-05-01 to 2023-06-01,"Profits: -0.10850000000000026, Winrate: 28.000000000000004, Number of trades: 25"
From 2023-06-01 to 2023-07-01,"Profits: -0.11590000000000611, Winrate: 29.411764705882355, Number of trades: 34"
From 2023-07-01 to 2023-08-01,"Profits: -0.08615000000000883, Winrate: 28.57142857142857, Number of trades: 35"
From 2023-08-01 to 2023-09-01,"Profits: 0.12929999999999886, Winrate: 45.16129032258064, Number of trades: 31"
From 2023-09-01 to 2023-10-01,"Profits: -0.04964999999999442, Winrate: 31.03448275862069, Number of trades: 29"
